; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/oligos_7nt_mkv5_m4/peak-motifs_oligos_7nt_mkv5_m4_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-380	-360	-370	1	1	1181	0.00085	0.00085	1.00000
-360	-340	-350	0	1	1180	0.00000	0.00085	0.99915
-340	-320	-330	1	2	1180	0.00085	0.00169	0.99915
-320	-300	-310	1	3	1179	0.00085	0.00254	0.99831
-300	-280	-290	0	3	1178	0.00000	0.00254	0.99746
-280	-260	-270	4	7	1178	0.00339	0.00593	0.99746
-260	-240	-250	1	8	1174	0.00085	0.00677	0.99407
-240	-220	-230	5	13	1173	0.00423	0.01101	0.99323
-220	-200	-210	3	16	1168	0.00254	0.01355	0.98899
-200	-180	-190	4	20	1165	0.00339	0.01693	0.98645
-180	-160	-170	16	36	1161	0.01355	0.03048	0.98307
-160	-140	-150	26	62	1145	0.02202	0.05250	0.96952
-140	-120	-130	41	103	1119	0.03472	0.08721	0.94750
-120	-100	-110	58	161	1078	0.04911	0.13633	0.91279
-100	-80	-90	78	239	1020	0.06605	0.20237	0.86367
-80	-60	-70	77	316	942	0.06520	0.26757	0.79763
-60	-40	-50	92	408	865	0.07790	0.34547	0.73243
-40	-20	-30	97	505	773	0.08213	0.42760	0.65453
-20	0	-10	83	588	676	0.07028	0.49788	0.57240
0	20	10	74	662	593	0.06266	0.56054	0.50212
20	40	30	89	751	519	0.07536	0.63590	0.43946
40	60	50	86	837	430	0.07282	0.70872	0.36410
60	80	70	89	926	344	0.07536	0.78408	0.29128
80	100	90	74	1000	255	0.06266	0.84674	0.21592
100	120	110	69	1069	181	0.05843	0.90517	0.15326
120	140	130	33	1102	112	0.02794	0.93311	0.09483
140	160	150	28	1130	79	0.02371	0.95682	0.06689
160	180	170	19	1149	51	0.01609	0.97290	0.04318
180	200	190	13	1162	32	0.01101	0.98391	0.02710
200	220	210	5	1167	19	0.00423	0.98815	0.01609
220	240	230	3	1170	14	0.00254	0.99069	0.01185
240	260	250	5	1175	11	0.00423	0.99492	0.00931
260	280	270	3	1178	6	0.00254	0.99746	0.00508
280	300	290	0	1178	3	0.00000	0.99746	0.00254
300	320	310	1	1179	3	0.00085	0.99831	0.00254
320	340	330	1	1180	2	0.00085	0.99915	0.00169
340	360	350	0	1180	1	0.00000	0.99915	0.00085
360	380	370	1	1181	1	0.00085	1.00000	0.00085
; Statistics:
; -----------
; class interval     	20
; classes            	38
; count              	1181
; sum                	3544.5
; mean               	3.00127
; median class       	[-20..0[
; var                	8.95e+03
; std                	94.5978
; min                	-363.5
; max                	364.5
; range              	728
; Host name	rsat
; Job started	2014-09-03.102733
; Job done	2014-09-03.102733
; Seconds	0.27
;	user	0.27
;	system	0.01
;	cuser	0
;	csystem	0
