; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/oligos_8nt_mkv6_m1/peak-motifs_oligos_8nt_mkv6_m1_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-440	-420	-430	1	1	6493	0.00015	0.00015	1.00000
-420	-400	-410	0	1	6492	0.00000	0.00015	0.99985
-400	-380	-390	0	1	6492	0.00000	0.00015	0.99985
-380	-360	-370	0	1	6492	0.00000	0.00015	0.99985
-360	-340	-350	2	3	6492	0.00031	0.00046	0.99985
-340	-320	-330	0	3	6490	0.00000	0.00046	0.99954
-320	-300	-310	0	3	6490	0.00000	0.00046	0.99954
-300	-280	-290	3	6	6490	0.00046	0.00092	0.99954
-280	-260	-270	1	7	6487	0.00015	0.00108	0.99908
-260	-240	-250	3	10	6486	0.00046	0.00154	0.99892
-240	-220	-230	1	11	6483	0.00015	0.00169	0.99846
-220	-200	-210	8	19	6482	0.00123	0.00293	0.99831
-200	-180	-190	10	29	6474	0.00154	0.00447	0.99707
-180	-160	-170	17	46	6464	0.00262	0.00708	0.99553
-160	-140	-150	13	59	6447	0.00200	0.00909	0.99292
-140	-120	-130	21	80	6434	0.00323	0.01232	0.99091
-120	-100	-110	36	116	6413	0.00554	0.01787	0.98768
-100	-80	-90	52	168	6377	0.00801	0.02587	0.98213
-80	-60	-70	180	348	6325	0.02772	0.05360	0.97413
-60	-40	-50	502	850	6145	0.07731	0.13091	0.94640
-40	-20	-30	1004	1854	5643	0.15463	0.28554	0.86909
-20	0	-10	1445	3299	4639	0.22255	0.50809	0.71446
0	20	10	1440	4739	3194	0.22178	0.72986	0.49191
20	40	30	954	5693	1754	0.14693	0.87679	0.27014
40	60	50	485	6178	800	0.07470	0.95149	0.12321
60	80	70	163	6341	315	0.02510	0.97659	0.04851
80	100	90	51	6392	152	0.00785	0.98444	0.02341
100	120	110	26	6418	101	0.00400	0.98845	0.01556
120	140	130	29	6447	75	0.00447	0.99292	0.01155
140	160	150	13	6460	46	0.00200	0.99492	0.00708
160	180	170	17	6477	33	0.00262	0.99754	0.00508
180	200	190	5	6482	16	0.00077	0.99831	0.00246
200	220	210	3	6485	11	0.00046	0.99877	0.00169
220	240	230	3	6488	8	0.00046	0.99923	0.00123
240	260	250	2	6490	5	0.00031	0.99954	0.00077
260	280	270	1	6491	3	0.00015	0.99969	0.00046
280	300	290	2	6493	2	0.00031	1.00000	0.00031
; Statistics:
; -----------
; class interval     	20
; classes            	37
; count              	6493
; sum                	-10701
; mean               	-1.64808
; median class       	[-40..-20[
; var                	1.92e+03
; std                	43.8221
; min                	-423
; max                	293
; range              	716
; Host name	rsat
; Job started	2014-09-03.103115
; Job done	2014-09-03.103115
; Seconds	0.31
;	user	0.31
;	system	0.01
;	cuser	0
;	csystem	0
