; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/oligos_6nt_mkv4_m1/peak-motifs_oligos_6nt_mkv4_m1_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-440	-420	-430	1	1	9162	0.00011	0.00011	1.00000
-420	-400	-410	0	1	9161	0.00000	0.00011	0.99989
-400	-380	-390	0	1	9161	0.00000	0.00011	0.99989
-380	-360	-370	0	1	9161	0.00000	0.00011	0.99989
-360	-340	-350	1	2	9161	0.00011	0.00022	0.99989
-340	-320	-330	0	2	9160	0.00000	0.00022	0.99978
-320	-300	-310	0	2	9160	0.00000	0.00022	0.99978
-300	-280	-290	2	4	9160	0.00022	0.00044	0.99978
-280	-260	-270	0	4	9158	0.00000	0.00044	0.99956
-260	-240	-250	3	7	9158	0.00033	0.00076	0.99956
-240	-220	-230	4	11	9155	0.00044	0.00120	0.99924
-220	-200	-210	8	19	9151	0.00087	0.00207	0.99880
-200	-180	-190	13	32	9143	0.00142	0.00349	0.99793
-180	-160	-170	22	54	9130	0.00240	0.00589	0.99651
-160	-140	-150	21	75	9108	0.00229	0.00819	0.99411
-140	-120	-130	35	110	9087	0.00382	0.01201	0.99181
-120	-100	-110	55	165	9052	0.00600	0.01801	0.98799
-100	-80	-90	98	263	8997	0.01070	0.02871	0.98199
-80	-60	-70	282	545	8899	0.03078	0.05948	0.97129
-60	-40	-50	705	1250	8617	0.07695	0.13643	0.94052
-40	-20	-30	1423	2673	7912	0.15532	0.29175	0.86357
-20	0	-10	1996	4669	6489	0.21786	0.50960	0.70825
0	20	10	1983	6652	4493	0.21644	0.72604	0.49040
20	40	30	1320	7972	2510	0.14407	0.87012	0.27396
40	60	50	695	8667	1190	0.07586	0.94597	0.12988
60	80	70	249	8916	495	0.02718	0.97315	0.05403
80	100	90	76	8992	246	0.00830	0.98145	0.02685
100	120	110	44	9036	170	0.00480	0.98625	0.01855
120	140	130	40	9076	126	0.00437	0.99061	0.01375
140	160	150	31	9107	86	0.00338	0.99400	0.00939
160	180	170	23	9130	55	0.00251	0.99651	0.00600
180	200	190	14	9144	32	0.00153	0.99804	0.00349
200	220	210	4	9148	18	0.00044	0.99847	0.00196
220	240	230	7	9155	14	0.00076	0.99924	0.00153
240	260	250	3	9158	7	0.00033	0.99956	0.00076
260	280	270	1	9159	4	0.00011	0.99967	0.00044
280	300	290	1	9160	3	0.00011	0.99978	0.00033
300	320	310	1	9161	2	0.00011	0.99989	0.00022
320	340	330	1	9162	1	0.00011	1.00000	0.00011
; Statistics:
; -----------
; class interval     	20
; classes            	39
; count              	9162
; sum                	-11935
; mean               	-1.30266
; median class       	[-40..-20[
; var                	2e+03
; std                	44.686
; min                	-423
; max                	335
; range              	758
; Host name	rsat
; Job started	2014-09-03.102048
; Job done	2014-09-03.102048
; Seconds	0.32
;	user	0.32
;	system	0.01
;	cuser	0
;	csystem	0
