MO000000004	cluster1
MO000000005	cluster1
MO000000008	cluster1
MO000000012	cluster1
MO000000032	cluster1
MO000000040	cluster1
MO000000046	cluster1
MO000000085	cluster1
MO000000112	cluster1
MO000000113	cluster1
MO000000114	cluster1
MO000000115	cluster1
MO000000116	cluster1
MO000000118	cluster1
MO000000119	cluster1
MO000000121	cluster1
MO000008179	cluster1
MO000016708	cluster1
MO000016886	cluster1
MO000016887	cluster1
MO000016996	cluster1
MO000016997	cluster1
MO000017411	cluster1
MO000017624	cluster1
MO000019288	cluster1
MO000020783	cluster1
MO000038688	cluster1
MO000038709	cluster1
