; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/oligos_8nt_mkv6_m4/peak-motifs_oligos_8nt_mkv6_m4_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-360	-340	-350	1	1	4440	0.00023	0.00023	1.00000
-340	-320	-330	0	1	4439	0.00000	0.00023	0.99977
-320	-300	-310	0	1	4439	0.00000	0.00023	0.99977
-300	-280	-290	0	1	4439	0.00000	0.00023	0.99977
-280	-260	-270	3	4	4439	0.00068	0.00090	0.99977
-260	-240	-250	2	6	4436	0.00045	0.00135	0.99910
-240	-220	-230	1	7	4434	0.00023	0.00158	0.99865
-220	-200	-210	3	10	4433	0.00068	0.00225	0.99842
-200	-180	-190	8	18	4430	0.00180	0.00405	0.99775
-180	-160	-170	15	33	4422	0.00338	0.00743	0.99595
-160	-140	-150	29	62	4407	0.00653	0.01396	0.99257
-140	-120	-130	44	106	4378	0.00991	0.02387	0.98604
-120	-100	-110	51	157	4334	0.01149	0.03536	0.97613
-100	-80	-90	74	231	4283	0.01667	0.05203	0.96464
-80	-60	-70	147	378	4209	0.03311	0.08514	0.94797
-60	-40	-50	397	775	4062	0.08941	0.17455	0.91486
-40	-20	-30	687	1462	3665	0.15473	0.32928	0.82545
-20	0	-10	868	2330	2978	0.19550	0.52477	0.67072
0	20	10	808	3138	2110	0.18198	0.70676	0.47523
20	40	30	579	3717	1302	0.13041	0.83716	0.29324
40	60	50	323	4040	723	0.07275	0.90991	0.16284
60	80	70	156	4196	400	0.03514	0.94505	0.09009
80	100	90	87	4283	244	0.01959	0.96464	0.05495
100	120	110	47	4330	157	0.01059	0.97523	0.03536
120	140	130	30	4360	110	0.00676	0.98198	0.02477
140	160	150	35	4395	80	0.00788	0.98986	0.01802
160	180	170	17	4412	45	0.00383	0.99369	0.01014
180	200	190	9	4421	28	0.00203	0.99572	0.00631
200	220	210	9	4430	19	0.00203	0.99775	0.00428
220	240	230	1	4431	10	0.00023	0.99797	0.00225
240	260	250	2	4433	9	0.00045	0.99842	0.00203
260	280	270	3	4436	7	0.00068	0.99910	0.00158
280	300	290	0	4436	4	0.00000	0.99910	0.00090
300	320	310	0	4436	4	0.00000	0.99910	0.00090
320	340	330	2	4438	4	0.00045	0.99955	0.00090
340	360	350	2	4440	2	0.00045	1.00000	0.00045
; Statistics:
; -----------
; class interval     	20
; classes            	36
; count              	4440
; sum                	-5853
; mean               	-1.31824
; median class       	[-40..-20[
; var                	2.94e+03
; std                	54.1815
; min                	-343
; max                	347
; range              	690
; Host name	rsat
; Job started	2014-09-03.103254
; Job done	2014-09-03.103254
; Seconds	0.29
;	user	0.29
;	system	0.01
;	cuser	0
;	csystem	0
