; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/oligos_7nt_mkv5_m2/peak-motifs_oligos_7nt_mkv5_m2_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-400	-380	-390	2	2	2691	0.00074	0.00074	1.00000
-380	-360	-370	2	4	2689	0.00074	0.00149	0.99926
-360	-340	-350	1	5	2687	0.00037	0.00186	0.99851
-340	-320	-330	0	5	2686	0.00000	0.00186	0.99814
-320	-300	-310	0	5	2686	0.00000	0.00186	0.99814
-300	-280	-290	3	8	2686	0.00111	0.00297	0.99814
-280	-260	-270	4	12	2683	0.00149	0.00446	0.99703
-260	-240	-250	6	18	2679	0.00223	0.00669	0.99554
-240	-220	-230	13	31	2673	0.00483	0.01152	0.99331
-220	-200	-210	13	44	2660	0.00483	0.01635	0.98848
-200	-180	-190	35	79	2647	0.01301	0.02936	0.98365
-180	-160	-170	36	115	2612	0.01338	0.04274	0.97064
-160	-140	-150	100	215	2576	0.03716	0.07990	0.95726
-140	-120	-130	97	312	2476	0.03605	0.11594	0.92010
-120	-100	-110	146	458	2379	0.05425	0.17020	0.88406
-100	-80	-90	154	612	2233	0.05723	0.22742	0.82980
-80	-60	-70	194	806	2079	0.07209	0.29952	0.77258
-60	-40	-50	177	983	1885	0.06577	0.36529	0.70048
-40	-20	-30	143	1126	1708	0.05314	0.41843	0.63471
-20	0	-10	160	1286	1565	0.05946	0.47789	0.58157
0	20	10	139	1425	1405	0.05165	0.52954	0.52211
20	40	30	178	1603	1266	0.06615	0.59569	0.47046
40	60	50	209	1812	1088	0.07767	0.67336	0.40431
60	80	70	189	2001	879	0.07023	0.74359	0.32664
80	100	90	195	2196	690	0.07246	0.81605	0.25641
100	120	110	143	2339	495	0.05314	0.86919	0.18395
120	140	130	129	2468	352	0.04794	0.91713	0.13081
140	160	150	85	2553	223	0.03159	0.94872	0.08287
160	180	170	56	2609	138	0.02081	0.96953	0.05128
180	200	190	35	2644	82	0.01301	0.98253	0.03047
200	220	210	20	2664	47	0.00743	0.98997	0.01747
220	240	230	9	2673	27	0.00334	0.99331	0.01003
240	260	250	8	2681	18	0.00297	0.99628	0.00669
260	280	270	4	2685	10	0.00149	0.99777	0.00372
280	300	290	3	2688	6	0.00111	0.99889	0.00223
300	320	310	2	2690	3	0.00074	0.99963	0.00111
320	340	330	1	2691	1	0.00037	1.00000	0.00037
; Statistics:
; -----------
; class interval     	20
; classes            	37
; count              	2691
; sum                	10683.5
; mean               	3.97009
; median class       	[-20..0[
; var                	1.05e+04
; std                	102.272
; min                	-389.5
; max                	323.5
; range              	713
; Host name	rsat
; Job started	2014-09-03.102637
; Job done	2014-09-03.102637
; Seconds	0.28
;	user	0.28
;	system	0.01
;	cuser	0
;	csystem	0
