; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/oligos_6nt_mkv4_m4/peak-motifs_oligos_6nt_mkv4_m4_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-420	-400	-410	1	1	2081	0.00048	0.00048	1.00000
-400	-380	-390	0	1	2080	0.00000	0.00048	0.99952
-380	-360	-370	1	2	2080	0.00048	0.00096	0.99952
-360	-340	-350	0	2	2079	0.00000	0.00096	0.99904
-340	-320	-330	1	3	2079	0.00048	0.00144	0.99904
-320	-300	-310	1	4	2078	0.00048	0.00192	0.99856
-300	-280	-290	2	6	2077	0.00096	0.00288	0.99808
-280	-260	-270	2	8	2075	0.00096	0.00384	0.99712
-260	-240	-250	4	12	2073	0.00192	0.00577	0.99616
-240	-220	-230	7	19	2069	0.00336	0.00913	0.99423
-220	-200	-210	15	34	2062	0.00721	0.01634	0.99087
-200	-180	-190	32	66	2047	0.01538	0.03172	0.98366
-180	-160	-170	37	103	2015	0.01778	0.04950	0.96828
-160	-140	-150	71	174	1978	0.03412	0.08361	0.95050
-140	-120	-130	89	263	1907	0.04277	0.12638	0.91639
-120	-100	-110	109	372	1818	0.05238	0.17876	0.87362
-100	-80	-90	137	509	1709	0.06583	0.24459	0.82124
-80	-60	-70	146	655	1572	0.07016	0.31475	0.75541
-60	-40	-50	159	814	1426	0.07641	0.39116	0.68525
-40	-20	-30	120	934	1267	0.05766	0.44882	0.60884
-20	0	-10	126	1060	1147	0.06055	0.50937	0.55118
0	20	10	123	1183	1021	0.05911	0.56848	0.49063
20	40	30	161	1344	898	0.07737	0.64584	0.43152
40	60	50	157	1501	737	0.07544	0.72129	0.35416
60	80	70	155	1656	580	0.07448	0.79577	0.27871
80	100	90	111	1767	425	0.05334	0.84911	0.20423
100	120	110	88	1855	314	0.04229	0.89140	0.15089
120	140	130	78	1933	226	0.03748	0.92888	0.10860
140	160	150	61	1994	148	0.02931	0.95819	0.07112
160	180	170	37	2031	87	0.01778	0.97597	0.04181
180	200	190	26	2057	50	0.01249	0.98847	0.02403
200	220	210	8	2065	24	0.00384	0.99231	0.01153
220	240	230	6	2071	16	0.00288	0.99519	0.00769
240	260	250	4	2075	10	0.00192	0.99712	0.00481
260	280	270	5	2080	6	0.00240	0.99952	0.00288
280	300	290	1	2081	1	0.00048	1.00000	0.00048
; Statistics:
; -----------
; class interval     	20
; classes            	36
; count              	2081
; sum                	-10753
; mean               	-5.16723
; median class       	[-40..-20[
; var                	9.79e+03
; std                	98.96
; min                	-404
; max                	286
; range              	690
; Host name	rsat
; Job started	2014-09-03.102208
; Job done	2014-09-03.102208
; Seconds	0.27
;	user	0.27
;	system	0.02
;	cuser	0
;	csystem	0
