; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/oligos_7nt_mkv5_m5/peak-motifs_oligos_7nt_mkv5_m5_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-300	-280	-290	1	1	2806	0.00036	0.00036	1.00000
-280	-260	-270	3	4	2805	0.00107	0.00143	0.99964
-260	-240	-250	2	6	2802	0.00071	0.00214	0.99857
-240	-220	-230	5	11	2800	0.00178	0.00392	0.99786
-220	-200	-210	7	18	2795	0.00249	0.00641	0.99608
-200	-180	-190	13	31	2788	0.00463	0.01105	0.99359
-180	-160	-170	12	43	2775	0.00428	0.01532	0.98895
-160	-140	-150	13	56	2763	0.00463	0.01996	0.98468
-140	-120	-130	30	86	2750	0.01069	0.03065	0.98004
-120	-100	-110	25	111	2720	0.00891	0.03956	0.96935
-100	-80	-90	53	164	2695	0.01889	0.05845	0.96044
-80	-60	-70	110	274	2642	0.03920	0.09765	0.94155
-60	-40	-50	212	486	2532	0.07555	0.17320	0.90235
-40	-20	-30	432	918	2320	0.15396	0.32716	0.82680
-20	0	-10	569	1487	1888	0.20278	0.52994	0.67284
0	20	10	509	1996	1319	0.18140	0.71133	0.47006
20	40	30	371	2367	810	0.13222	0.84355	0.28867
40	60	50	169	2536	439	0.06023	0.90378	0.15645
60	80	70	101	2637	270	0.03599	0.93977	0.09622
80	100	90	49	2686	169	0.01746	0.95723	0.06023
100	120	110	29	2715	120	0.01033	0.96757	0.04277
120	140	130	23	2738	91	0.00820	0.97577	0.03243
140	160	150	28	2766	68	0.00998	0.98574	0.02423
160	180	170	19	2785	40	0.00677	0.99252	0.01426
180	200	190	7	2792	21	0.00249	0.99501	0.00748
200	220	210	5	2797	14	0.00178	0.99679	0.00499
220	240	230	5	2802	9	0.00178	0.99857	0.00321
240	260	250	3	2805	4	0.00107	0.99964	0.00143
260	280	270	0	2805	1	0.00000	0.99964	0.00036
280	300	290	0	2805	1	0.00000	0.99964	0.00036
300	320	310	0	2805	1	0.00000	0.99964	0.00036
320	340	330	1	2806	1	0.00036	1.00000	0.00036
; Statistics:
; -----------
; class interval     	20
; classes            	32
; count              	2806
; sum                	-4372
; mean               	-1.55809
; median class       	[-40..-20[
; var                	3.36e+03
; std                	57.972
; min                	-299.5
; max                	330.5
; range              	630
; Host name	rsat
; Job started	2014-09-03.102759
; Job done	2014-09-03.102759
; Seconds	0.28
;	user	0.28
;	system	0.01
;	cuser	0
;	csystem	0
