; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/oligos_6nt_mkv4_m5/peak-motifs_oligos_6nt_mkv4_m5_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-440	-420	-430	1	1	7851	0.00013	0.00013	1.00000
-420	-400	-410	0	1	7850	0.00000	0.00013	0.99987
-400	-380	-390	1	2	7850	0.00013	0.00025	0.99987
-380	-360	-370	0	2	7849	0.00000	0.00025	0.99975
-360	-340	-350	1	3	7849	0.00013	0.00038	0.99975
-340	-320	-330	0	3	7848	0.00000	0.00038	0.99962
-320	-300	-310	1	4	7848	0.00013	0.00051	0.99962
-300	-280	-290	2	6	7847	0.00025	0.00076	0.99949
-280	-260	-270	0	6	7845	0.00000	0.00076	0.99924
-260	-240	-250	1	7	7845	0.00013	0.00089	0.99924
-240	-220	-230	2	9	7844	0.00025	0.00115	0.99911
-220	-200	-210	4	13	7842	0.00051	0.00166	0.99885
-200	-180	-190	11	24	7838	0.00140	0.00306	0.99834
-180	-160	-170	25	49	7827	0.00318	0.00624	0.99694
-160	-140	-150	14	63	7802	0.00178	0.00802	0.99376
-140	-120	-130	29	92	7788	0.00369	0.01172	0.99198
-120	-100	-110	43	135	7759	0.00548	0.01720	0.98828
-100	-80	-90	66	201	7716	0.00841	0.02560	0.98280
-80	-60	-70	245	446	7650	0.03121	0.05681	0.97440
-60	-40	-50	610	1056	7405	0.07770	0.13451	0.94319
-40	-20	-30	1205	2261	6795	0.15348	0.28799	0.86549
-20	0	-10	1773	4034	5590	0.22583	0.51382	0.71201
0	20	10	1706	5740	3817	0.21730	0.73112	0.48618
20	40	30	1120	6860	2111	0.14266	0.87377	0.26888
40	60	50	594	7454	991	0.07566	0.94943	0.12623
60	80	70	198	7652	397	0.02522	0.97465	0.05057
80	100	90	76	7728	199	0.00968	0.98433	0.02535
100	120	110	42	7770	123	0.00535	0.98968	0.01567
120	140	130	27	7797	81	0.00344	0.99312	0.01032
140	160	150	16	7813	54	0.00204	0.99516	0.00688
160	180	170	17	7830	38	0.00217	0.99733	0.00484
180	200	190	7	7837	21	0.00089	0.99822	0.00267
200	220	210	2	7839	14	0.00025	0.99847	0.00178
220	240	230	3	7842	12	0.00038	0.99885	0.00153
240	260	250	6	7848	9	0.00076	0.99962	0.00115
260	280	270	2	7850	3	0.00025	0.99987	0.00038
280	300	290	1	7851	1	0.00013	1.00000	0.00013
; Statistics:
; -----------
; class interval     	20
; classes            	37
; count              	7851
; sum                	-13054
; mean               	-1.66272
; median class       	[-40..-20[
; var                	1.9e+03
; std                	43.5931
; min                	-423
; max                	293
; range              	716
; Host name	rsat
; Job started	2014-09-03.102238
; Job done	2014-09-03.102238
; Seconds	0.31
;	user	0.31
;	system	0.01
;	cuser	0
;	csystem	0
