; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/oligos_7nt_mkv5_m1/peak-motifs_oligos_7nt_mkv5_m1_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-440	-420	-430	1	1	8887	0.00011	0.00011	1.00000
-420	-400	-410	0	1	8886	0.00000	0.00011	0.99989
-400	-380	-390	0	1	8886	0.00000	0.00011	0.99989
-380	-360	-370	0	1	8886	0.00000	0.00011	0.99989
-360	-340	-350	1	2	8886	0.00011	0.00023	0.99989
-340	-320	-330	0	2	8885	0.00000	0.00023	0.99977
-320	-300	-310	0	2	8885	0.00000	0.00023	0.99977
-300	-280	-290	3	5	8885	0.00034	0.00056	0.99977
-280	-260	-270	2	7	8882	0.00023	0.00079	0.99944
-260	-240	-250	2	9	8880	0.00023	0.00101	0.99921
-240	-220	-230	4	13	8878	0.00045	0.00146	0.99899
-220	-200	-210	9	22	8874	0.00101	0.00248	0.99854
-200	-180	-190	15	37	8865	0.00169	0.00416	0.99752
-180	-160	-170	26	63	8850	0.00293	0.00709	0.99584
-160	-140	-150	21	84	8824	0.00236	0.00945	0.99291
-140	-120	-130	45	129	8803	0.00506	0.01452	0.99055
-120	-100	-110	53	182	8758	0.00596	0.02048	0.98548
-100	-80	-90	96	278	8705	0.01080	0.03128	0.97952
-80	-60	-70	257	535	8609	0.02892	0.06020	0.96872
-60	-40	-50	708	1243	8352	0.07967	0.13987	0.93980
-40	-20	-30	1405	2648	7644	0.15810	0.29796	0.86013
-20	0	-10	1934	4582	6239	0.21762	0.51558	0.70204
0	20	10	1899	6481	4305	0.21368	0.72927	0.48442
20	40	30	1285	7766	2406	0.14459	0.87386	0.27073
40	60	50	631	8397	1121	0.07100	0.94486	0.12614
60	80	70	235	8632	490	0.02644	0.97131	0.05514
80	100	90	81	8713	255	0.00911	0.98042	0.02869
100	120	110	50	8763	174	0.00563	0.98605	0.01958
120	140	130	33	8796	124	0.00371	0.98976	0.01395
140	160	150	32	8828	91	0.00360	0.99336	0.01024
160	180	170	20	8848	59	0.00225	0.99561	0.00664
180	200	190	18	8866	39	0.00203	0.99764	0.00439
200	220	210	7	8873	21	0.00079	0.99842	0.00236
220	240	230	4	8877	14	0.00045	0.99887	0.00158
240	260	250	3	8880	10	0.00034	0.99921	0.00113
260	280	270	2	8882	7	0.00023	0.99944	0.00079
280	300	290	1	8883	5	0.00011	0.99955	0.00056
300	320	310	2	8885	4	0.00023	0.99977	0.00045
320	340	330	2	8887	2	0.00023	1.00000	0.00023
; Statistics:
; -----------
; class interval     	20
; classes            	39
; count              	8887
; sum                	-16456
; mean               	-1.85169
; median class       	[-40..-20[
; var                	2.11e+03
; std                	45.8886
; min                	-422
; max                	337
; range              	759
; Host name	rsat
; Job started	2014-09-03.102605
; Job done	2014-09-03.102605
; Seconds	0.32
;	user	0.32
;	system	0.01
;	cuser	0
;	csystem	0
