; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/positions_8nt_m1/peak-motifs_positions_8nt_m1_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-400	-380	-390	1	1	4497	0.00022	0.00022	1.00000
-380	-360	-370	0	1	4496	0.00000	0.00022	0.99978
-360	-340	-350	1	2	4496	0.00022	0.00044	0.99978
-340	-320	-330	1	3	4495	0.00022	0.00067	0.99956
-320	-300	-310	1	4	4494	0.00022	0.00089	0.99933
-300	-280	-290	1	5	4493	0.00022	0.00111	0.99911
-280	-260	-270	1	6	4492	0.00022	0.00133	0.99889
-260	-240	-250	4	10	4491	0.00089	0.00222	0.99867
-240	-220	-230	1	11	4487	0.00022	0.00245	0.99778
-220	-200	-210	8	19	4486	0.00178	0.00423	0.99755
-200	-180	-190	10	29	4478	0.00222	0.00645	0.99577
-180	-160	-170	19	48	4468	0.00423	0.01067	0.99355
-160	-140	-150	16	64	4449	0.00356	0.01423	0.98933
-140	-120	-130	18	82	4433	0.00400	0.01823	0.98577
-120	-100	-110	47	129	4415	0.01045	0.02869	0.98177
-100	-80	-90	52	181	4368	0.01156	0.04025	0.97131
-80	-60	-70	165	346	4316	0.03669	0.07694	0.95975
-60	-40	-50	333	679	4151	0.07405	0.15099	0.92306
-40	-20	-30	655	1334	3818	0.14565	0.29664	0.84901
-20	0	-10	1013	2347	3163	0.22526	0.52190	0.70336
0	20	10	917	3264	2150	0.20391	0.72582	0.47810
20	40	30	616	3880	1233	0.13698	0.86280	0.27418
40	60	50	332	4212	617	0.07383	0.93662	0.13720
60	80	70	127	4339	285	0.02824	0.96487	0.06338
80	100	90	58	4397	158	0.01290	0.97776	0.03513
100	120	110	31	4428	100	0.00689	0.98466	0.02224
120	140	130	26	4454	69	0.00578	0.99044	0.01534
140	160	150	15	4469	43	0.00334	0.99377	0.00956
160	180	170	10	4479	28	0.00222	0.99600	0.00623
180	200	190	8	4487	18	0.00178	0.99778	0.00400
200	220	210	3	4490	10	0.00067	0.99844	0.00222
220	240	230	2	4492	7	0.00044	0.99889	0.00156
240	260	250	2	4494	5	0.00044	0.99933	0.00111
260	280	270	2	4496	3	0.00044	0.99978	0.00067
280	300	290	1	4497	1	0.00022	1.00000	0.00022
; Statistics:
; -----------
; class interval     	20
; classes            	35
; count              	4497
; sum                	-9485.5
; mean               	-2.1093
; median class       	[-40..-20[
; var                	2.43e+03
; std                	49.3407
; min                	-394.5
; max                	293.5
; range              	688
; Host name	rsat
; Job started	2014-09-03.103352
; Job done	2014-09-03.103352
; Seconds	0.29
;	user	0.29
;	system	0.01
;	cuser	0
;	csystem	0
