; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/oligos_8nt_mkv6_m3/peak-motifs_oligos_8nt_mkv6_m3_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-440	-420	-430	1	1	9889	0.00010	0.00010	1.00000
-420	-400	-410	0	1	9888	0.00000	0.00010	0.99990
-400	-380	-390	0	1	9888	0.00000	0.00010	0.99990
-380	-360	-370	0	1	9888	0.00000	0.00010	0.99990
-360	-340	-350	1	2	9888	0.00010	0.00020	0.99990
-340	-320	-330	0	2	9887	0.00000	0.00020	0.99980
-320	-300	-310	0	2	9887	0.00000	0.00020	0.99980
-300	-280	-290	2	4	9887	0.00020	0.00040	0.99980
-280	-260	-270	3	7	9885	0.00030	0.00071	0.99960
-260	-240	-250	3	10	9882	0.00030	0.00101	0.99929
-240	-220	-230	5	15	9879	0.00051	0.00152	0.99899
-220	-200	-210	6	21	9874	0.00061	0.00212	0.99848
-200	-180	-190	23	44	9868	0.00233	0.00445	0.99788
-180	-160	-170	20	64	9845	0.00202	0.00647	0.99555
-160	-140	-150	26	90	9825	0.00263	0.00910	0.99353
-140	-120	-130	43	133	9799	0.00435	0.01345	0.99090
-120	-100	-110	52	185	9756	0.00526	0.01871	0.98655
-100	-80	-90	109	294	9704	0.01102	0.02973	0.98129
-80	-60	-70	306	600	9595	0.03094	0.06067	0.97027
-60	-40	-50	783	1383	9289	0.07918	0.13985	0.93933
-40	-20	-30	1588	2971	8506	0.16058	0.30043	0.86015
-20	0	-10	2166	5137	6918	0.21903	0.51947	0.69957
0	20	10	2106	7243	4752	0.21296	0.73243	0.48053
20	40	30	1421	8664	2646	0.14370	0.87612	0.26757
40	60	50	709	9373	1225	0.07170	0.94782	0.12388
60	80	70	255	9628	516	0.02579	0.97361	0.05218
80	100	90	79	9707	261	0.00799	0.98160	0.02639
100	120	110	46	9753	182	0.00465	0.98625	0.01840
120	140	130	52	9805	136	0.00526	0.99151	0.01375
140	160	150	31	9836	84	0.00313	0.99464	0.00849
160	180	170	21	9857	53	0.00212	0.99676	0.00536
180	200	190	13	9870	32	0.00131	0.99808	0.00324
200	220	210	5	9875	19	0.00051	0.99858	0.00192
220	240	230	9	9884	14	0.00091	0.99949	0.00142
240	260	250	1	9885	5	0.00010	0.99960	0.00051
260	280	270	1	9886	4	0.00010	0.99970	0.00040
280	300	290	1	9887	3	0.00010	0.99980	0.00030
300	320	310	1	9888	2	0.00010	0.99990	0.00020
320	340	330	1	9889	1	0.00010	1.00000	0.00010
; Statistics:
; -----------
; class interval     	20
; classes            	39
; count              	9889
; sum                	-16481.5
; mean               	-1.66665
; median class       	[-40..-20[
; var                	2.01e+03
; std                	44.7876
; min                	-422.5
; max                	335.5
; range              	758
; Host name	rsat
; Job started	2014-09-03.103221
; Job done	2014-09-03.103221
; Seconds	0.32
;	user	0.32
;	system	0.02
;	cuser	0
;	csystem	0
