; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/oligos_8nt_mkv6_m5/peak-motifs_oligos_8nt_mkv6_m5_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-380	-360	-370	1	1	3240	0.00031	0.00031	1.00000
-360	-340	-350	0	1	3239	0.00000	0.00031	0.99969
-340	-320	-330	0	1	3239	0.00000	0.00031	0.99969
-320	-300	-310	1	2	3239	0.00031	0.00062	0.99969
-300	-280	-290	2	4	3238	0.00062	0.00123	0.99938
-280	-260	-270	3	7	3236	0.00093	0.00216	0.99877
-260	-240	-250	2	9	3233	0.00062	0.00278	0.99784
-240	-220	-230	1	10	3231	0.00031	0.00309	0.99722
-220	-200	-210	3	13	3230	0.00093	0.00401	0.99691
-200	-180	-190	9	22	3227	0.00278	0.00679	0.99599
-180	-160	-170	9	31	3218	0.00278	0.00957	0.99321
-160	-140	-150	14	45	3209	0.00432	0.01389	0.99043
-140	-120	-130	26	71	3195	0.00802	0.02191	0.98611
-120	-100	-110	35	106	3169	0.01080	0.03272	0.97809
-100	-80	-90	36	142	3134	0.01111	0.04383	0.96728
-80	-60	-70	116	258	3098	0.03580	0.07963	0.95617
-60	-40	-50	290	548	2982	0.08951	0.16914	0.92037
-40	-20	-30	443	991	2692	0.13673	0.30586	0.83086
-20	0	-10	686	1677	2249	0.21173	0.51759	0.69414
0	20	10	646	2323	1563	0.19938	0.71698	0.48241
20	40	30	417	2740	917	0.12870	0.84568	0.28302
40	60	50	228	2968	500	0.07037	0.91605	0.15432
60	80	70	129	3097	272	0.03981	0.95586	0.08395
80	100	90	43	3140	143	0.01327	0.96914	0.04414
100	120	110	25	3165	100	0.00772	0.97685	0.03086
120	140	130	22	3187	75	0.00679	0.98364	0.02315
140	160	150	18	3205	53	0.00556	0.98920	0.01636
160	180	170	17	3222	35	0.00525	0.99444	0.01080
180	200	190	5	3227	18	0.00154	0.99599	0.00556
200	220	210	4	3231	13	0.00123	0.99722	0.00401
220	240	230	5	3236	9	0.00154	0.99877	0.00278
240	260	250	2	3238	4	0.00062	0.99938	0.00123
260	280	270	0	3238	2	0.00000	0.99938	0.00062
280	300	290	0	3238	2	0.00000	0.99938	0.00062
300	320	310	1	3239	2	0.00031	0.99969	0.00062
320	340	330	1	3240	1	0.00031	1.00000	0.00031
; Statistics:
; -----------
; class interval     	20
; classes            	36
; count              	3240
; sum                	-3652
; mean               	-1.12716
; median class       	[-40..-20[
; var                	2.81e+03
; std                	52.9732
; min                	-364.5
; max                	332.5
; range              	697
; Host name	rsat
; Job started	2014-09-03.103324
; Job done	2014-09-03.103324
; Seconds	0.28
;	user	0.28
;	system	0.01
;	cuser	0
;	csystem	0
